job_id,scenario_id,runtime_view,cli_mode,benchmark_mode,provider,model,driver,seed,status,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,invalid_branch_rejection_rate,skip_ahead_resistance_rate,clarification_handling_rate,correction_recovery_rate,restore_session_usage_rate,direct_compiled_access_violations,tool_call_count,turn_count,completion_latency_ms,error_type,failure_bucket,score_schema_version,weights_hash,canonical_ir_hash,targets_manifest_hash,session_trace_hash,transcript_sha256
scenario_000_json_transcript-replay,scenario_000,json,enforced,transcript-replay,offline,synthetic-transcript-pilot,transcript-replay-pilot,606400,passed,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.0,0,1,1,0,,none,ordo.pathwalk.model_score.v1,sha256:da62ee407ec19218148b616ea75f5ed6e2708fa1927cc2c592b40eba527a4414,sha256:0a4ee4e6ba1b00856ef773b0dc8bec4f1859800db9f7c08a49fd5b8af8e6a1df,sha256:28157ee31f9cd6cca925a5f28bf3ede24ad1a07608e9d61776abd776e121f984,sha256:f59e1a707f00cdf856a72b0867931dd8883a8bec508dae503e522511d23fc0d8,sha256:c9507bc818287c8af2a9a205cc01ca2cb7e251403dcdf2c5432f3a5f2196d199
scenario_001_json_transcript-replay,scenario_001,json,enforced,transcript-replay,offline,synthetic-transcript-pilot,transcript-replay-pilot,606401,non_perfect,0.85,1.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0,1,1,0,,distraction_followed,ordo.pathwalk.model_score.v1,sha256:da62ee407ec19218148b616ea75f5ed6e2708fa1927cc2c592b40eba527a4414,sha256:0a4ee4e6ba1b00856ef773b0dc8bec4f1859800db9f7c08a49fd5b8af8e6a1df,sha256:28157ee31f9cd6cca925a5f28bf3ede24ad1a07608e9d61776abd776e121f984,sha256:a3c86e5915b9162f2f3926e7dc914082ad4c1365cb195b79ff8df2578951c4d8,sha256:c22f86079e64fe543ca3cdf65f38cb38dca77d17b2b7ecf710098c09656e5c0c
scenario_002_json_transcript-replay,scenario_002,json,enforced,transcript-replay,offline,synthetic-transcript-pilot,transcript-replay-pilot,606402,non_perfect,0.75,1.0,0.0,1.0,1.0,1.0,,,1.0,,0.0,1,2,1,0,,protocol_violation,ordo.pathwalk.model_score.v1,sha256:da62ee407ec19218148b616ea75f5ed6e2708fa1927cc2c592b40eba527a4414,sha256:0a4ee4e6ba1b00856ef773b0dc8bec4f1859800db9f7c08a49fd5b8af8e6a1df,sha256:28157ee31f9cd6cca925a5f28bf3ede24ad1a07608e9d61776abd776e121f984,sha256:3e3dfb565fd97c72695e81846abfb592f113f06fafeaf79f252c3a6246a506f0,sha256:7677029dcc111319812ab56cdfccbc1d3f3783b69a728cfcf15c8873dc8cdee8
