score_file,scenario_id,runtime_view,driver,cli_mode,gate_passed,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,runtime_protocol_version,ordo_cli_version,canonical_ir_hash,targets_manifest_hash,session_trace_hash
scenario_000_json_ordo-code_score.json,scenario_000,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:c10ddefacb372e7ccd09a0b5a1b7a6a1a840c9e2666b78323288788b9838f85c,sha256:a1e1c4d80d8288461bd73cd7799d3741fec8d3ff4160d8fca8358c469008b04a,sha256:67a3c486d86ec8cbdb019a43215d323aee3ef04ae02a2a0c4c9a501643d3c889
scenario_000_json_score.json,scenario_000,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:76cd0d3926ac2a85e2906f5a464f2c4c1dc0042f6b6f89cf1cc7997df26ff351,sha256:ccae48575c092b51060ab8e70bae79407728a2a8760782a687398a89d00a380d,sha256:218392fdfc8998e0441b57e60287c3b664fc5c370b667a776d540134c11a91af
scenario_000_ordo-code_score.json,scenario_000,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:f1861b1498a7eb285145257fb3bb4640646f3a67fc7b0baab717af13e22d845a,sha256:28b85724b05e2bf186a7c2b70249a855b767785828ab4513b815d7b8669e79ac,sha256:f2689777b49eee0d2cb153e7b0d24899f15c45357fdf00796fc4320c4bc4ed85
scenario_001_json_ordo-code_score.json,scenario_001,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:c10ddefacb372e7ccd09a0b5a1b7a6a1a840c9e2666b78323288788b9838f85c,sha256:a1e1c4d80d8288461bd73cd7799d3741fec8d3ff4160d8fca8358c469008b04a,sha256:58789e8d6905c56fb313155c94d49c6890102cf2c74160232dd8eae5666581b6
scenario_001_json_score.json,scenario_001,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:76cd0d3926ac2a85e2906f5a464f2c4c1dc0042f6b6f89cf1cc7997df26ff351,sha256:ccae48575c092b51060ab8e70bae79407728a2a8760782a687398a89d00a380d,sha256:3617a5617caeed9e864e07ff9cc5d5de70e49c4c142edd26d67fa559c08ab0e2
scenario_001_ordo-code_score.json,scenario_001,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:f1861b1498a7eb285145257fb3bb4640646f3a67fc7b0baab717af13e22d845a,sha256:28b85724b05e2bf186a7c2b70249a855b767785828ab4513b815d7b8669e79ac,sha256:c8c32b2d248c563ad97b59a7ebb18ae3079547fcb051679e5e2419d427aac054
