runtime_view,cases,passed_cases,gate_pass_rate,path_quality_score_mean,path_quality_score_min,path_quality_score_max,path_quality_score_stdev,cell_match_rate_mean,cell_match_rate_min,cell_match_rate_max,cell_match_rate_stdev,protocol_compliance_rate_mean,protocol_compliance_rate_min,protocol_compliance_rate_max,protocol_compliance_rate_stdev,distraction_recovery_rate_mean,distraction_recovery_rate_min,distraction_recovery_rate_max,distraction_recovery_rate_stdev,backtrack_accuracy_mean,backtrack_accuracy_min,backtrack_accuracy_max,backtrack_accuracy_stdev,turn_accuracy_rate_mean,turn_accuracy_rate_min,turn_accuracy_rate_max,turn_accuracy_rate_stdev
json,20,20,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ordo-code,20,20,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
"json,ordo-code",20,20,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
