score_file,scenario_id,runtime_view,driver,cli_mode,gate_passed,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,runtime_protocol_version,ordo_cli_version,canonical_ir_hash,targets_manifest_hash,session_trace_hash
scenario_000_json_ordo-code_score.json,scenario_000,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:b5d12f22675daffb9ef6c39b5769a2f726063015b786506970ee83938e9396d8,sha256:75814f32d119c7900c4d4a1fc7b79cfb4b59afdb38311ffcdf0bc028af97ea29,sha256:b7c49e7ef96dba7c412c297ce60635b594cd6ce897fde129c0fd35e7e7016356
scenario_000_json_score.json,scenario_000,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:2c4660d66ef1c0514d6b53a1c5afcd1671a8e1487e304d1985d8b308de14f82c,sha256:d0f2a85e6518a51e461566a0be5d7eb6ebe682064841c2598ed673e3ea25216b,sha256:ec9d7b8c19ddd95d7943820ee744622d81302f35ce86493d4b54ee27ae06138d
scenario_000_ordo-code_score.json,scenario_000,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:52a92af25aa8cc92651f4dbd12e528011d11addff3213510239d7f712e31fbf6,sha256:743b975aca402d34864a7a7ceabf23972af2834f2b8d537eeef12e6370aa96c2,sha256:eae9d61709b1db9bc62103992438a9cb76dff0651311dde0769af1f1477f7cc2
