score_file,scenario_id,runtime_view,driver,cli_mode,gate_passed,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,runtime_protocol_version,ordo_cli_version,canonical_ir_hash,targets_manifest_hash,session_trace_hash
scenario_004_json_ordo-code_score.json,scenario_004,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:40b994fbe582d0ce37f8ec5967bd3ac8c42fea9119ca298f1f95d51406f2dda1
scenario_004_json_score.json,scenario_004,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:ea6c461c18228ff1ef888080c4c053ec101d33539cace7d00270278676b29b4b
scenario_004_ordo-code_score.json,scenario_004,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:451a8efbf3def9dcb6a7d58f560fb07e5e4d275a53df7c6d9194beb34edc857a
scenario_005_json_ordo-code_score.json,scenario_005,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:252f8e0c15d62364ec6cd0e4a1662b7f352cc53f392278124279595deec0eadf
scenario_005_json_score.json,scenario_005,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:1c076be932f39d3a24bbc7c7e18a5929a6cddbb7312152fd6a1015f90c606031
scenario_005_ordo-code_score.json,scenario_005,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:fc8e039ff5d8ff8e0ef35c60f20f55dedbb684af4b1de3a21cfac25e4e2e9d88
scenario_006_json_ordo-code_score.json,scenario_006,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:0f78939c19ac641148c3d412b54863d36edd924774801ddfe3a70bb3aaaaff87
scenario_006_json_score.json,scenario_006,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:66c9cd782443f9bec3084d7ae931a92ca26f778734ba4518c6fdec419324a5b8
scenario_006_ordo-code_score.json,scenario_006,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:fca0dbee91885aa41fc722cddd479645d704f2fcb9f94188a307031874175069
scenario_007_json_ordo-code_score.json,scenario_007,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:25c1aef0788c60ef3f3df0e5708ce616bb25341fbac0dd594ba8299ffa61f3d7
